,Filer_Full_Name_Reverse,in.d,out.d,out.prop,District,Party,Result,Competition,Sex,20th_Percentile_HH_Income,Median_HH_Income,80th_Percentile_HH_Income,Race
50,"Rodrigues, Michael J.",267,743,0.735643564,1st Bristol and Plymouth District,Democrat,Winner,No,Male,"18,700.00","51,400.00","105,300.00",White
55,"Tarr, Bruce",155,439,0.739057239,1st Essex and Middlesex District,Republican,Winner,No,Male,"38,100.00","94,900.00","180,100.00",White
18,"Dizoglio, Diana",495,439,0.470021413,1st Essex District,Democrat,Winner,Yes,Female,"28,400.00","71,100.00","136,500.00",White
36,"Lesser, Eric Phillip",435,659,0.6023766,1st Hampden and Hampshire District,Democrat,Winner,No,Male,"28,300.00","70,200.00","127,400.00",White
14,"Creem, Cynthia S.",153,102,0.4,1st Middlesex and Norfolk District,Democrat,Winner,No,Female,"41,700.00","120,200.00","250,000.00",White
19,"Drinkwater, John M.",37,326,0.898071625,1st Middlesex District,Democrat,Loser,Yes,Male,"21,900.00","64,700.00","137,400.00",White
21,"Elliott, Rodney",150,96,0.390243902,1st Middlesex District,Democrat,Loser,Yes,Male,"21,900.00","64,700.00","137,400.00",White
34,"Kennedy, Edward",325,216,0.399260628,1st Middlesex District,Democrat,Winner,Yes,Male,"21,900.00","64,700.00","137,400.00",White
39,"MacDonald, John A.",144,185,0.56231003,1st Middlesex District,Republican,Loser,Yes,Male,"21,900.00","64,700.00","137,400.00",White
40,"Martin, Jr., William F.",104,149,0.588932806,1st Middlesex District,Democrat,Loser,Yes,Male,"21,900.00","64,700.00","137,400.00",White
53,"Ryan, Terence J.",90,34,0.274193548,1st Middlesex District,Democrat,Loser,Yes,Male,"21,900.00","64,700.00","137,400.00",White
46,"Pacheco, Marc R.",89,359,0.801339286,1st Plymouth and Bristol District,Democrat,Winner,No,Male,"29,400.00","69,800.00","127,100.00",White
3,"Boncore, Joseph Angelo",426,808,0.654781199,1st Suffolk and Middlesex District,Democrat,Winner,No,Male,"21,900.00","62,100.00","129,800.00",White
12,"Collins, Nicholas P.",279,1256,0.818241042,1st Suffolk District,Democrat,Winner,No,Male,"17,800.00","60,400.00","126,700.00",White
10,"Chandler, Harriette L.",196,362,0.64874552,1st Worcester District,Democrat,Winner,No,Female,"18,800.00","55,600.00","120,500.00",White
43,"Montigny, Mark C.W.",7,7,0.5,2nd Bristol and Plymouth District,Democrat,Winner,No,Male,"17,000.00","47,900.00","99,900.00",White
1,"Armano, Michael J.",64,130,0.670103093,2nd Essex and Middlesex District,Democrat,Loser,Yes,Male,"22,700.00","66,400.00","138,600.00",White
22,"Espinola III, Joseph M.",31,42,0.575342466,2nd Essex and Middlesex District,Republican,Loser,Yes,Male,"22,700.00","66,400.00","138,600.00",White
25,"Finegold, Barry R.",252,718,0.740206186,2nd Essex and Middlesex District,Democrat,Winner,Yes,Male,"22,700.00","66,400.00","138,600.00",White
