,Filer_Full_Name_Reverse,in.d,out.d,out.prop,Democrat,Winner?,Competition?,Sex,20th_Percentile_HH_Income,Median_HH_Income,80th_Percentile_HH_Income
1,"Adrien, Gerly",26,99,0.792,Democrat,Loser,Yes,M,22800,52500,99000
2,"Albright-Hanna, Kate W.",20,80,0.8,Democrat,Loser,Yes,F,26500,65000,119100
3,"Arciero, Jim",125,356,0.74012474,Democrat,Winner,Yes,M,55700,122400,201000
4,"Arena, John W.",5,20,0.8,Independent,Loser,Yes,M,21500,55800,103200
5,"Armstrong, Joseph M.",9,13,0.590909091,Republican,Loser,Yes,M,35900,94800,167900
6,"Arute, Kristen Gail",182,121,0.399339934,Democrat,Loser,Yes,F,36200,105500,216500
7,"Ashe, Brian M.",123,127,0.508,Democrat,Winner,Yes,M,38400,86500,161400
8,"Ayers, Bruce J.",117,213,0.645454545,Democrat,Winner,No,M,27500,71900,127200
9,"Balser, Ruth B.",101,133,0.568376068,Democrat,Winner,No,F,52700,142200,250000
10,"Barber, Christine P.",63,298,0.825484765,Democrat,Winner,No,F,23900,75200,137400
11,"Barrett, III, John",45,127,0.738372093,Republican,Winner,No,M,19900,50100,97600
12,"Barrows, Fred J.",6,4,0.4,Republican,Winner,No,M,42600,95500,160000
13,"Beaty, Jr., Ronald R.",27,3,0.1,Democrat,Loser,Yes,M,39200,85500,140600
14,"Benson, Jennifer",42,300,0.877192982,Republican,Winner,No,F,46800,104600,198200
15,"Berthiaume, Jr., Donald R.",41,57,0.581632653,Democrat,Winner,Yes,M,28300,67000,81800
16,"Bezanson, Alex",206,221,0.517564403,Republican,Loser,Yes,M,35900,77600,131400
17,"Biagetti, Sandra E. Slattery",48,82,0.630769231,Democrat,Loser,Yes,F,36400,85600,153400
18,"Biele, David M.",101,235,0.699404762,Democrat,Winner,Yes,M,21100,83400,161500
19,"Blais, Natalie M.",109,244,0.69121813,Republican,Winner,Yes,F,26500,65000,119100
20,"Blandford, Tom J.M.",19,32,0.62745098,Democrat,Loser,Write-In Style,M,36000,88500,156400
21,"Bloomenthal, Benjamin Elliot",8,18,0.692307692,Republican,Loser,Yes,M,52700,128300,237400
22,"Boldyga, Nick",55,81,0.595588235,Democrat,Winner,Yes,M,25800,65700,124400
23,"Bradford, Forrest W.",15,13,0.464285714,Democrat,Loser,Yes,M,25800,65700,124400
24,"Brodeur, Paul",81,250,0.755287009,Democrat,Winner,No,M,16600,56600,108400
