Asian,Black,Native,White,2+,Hispanic
0.0,0.0,0.35,82.27,0.77,16.02
0.77,0.0,0.0,94.3,1.2,2.85
0.58,30.81,1.41,62.66,1.93,2.61
95.91,0.0,0.0,1.56,1.73,0.66
0.78,21.58,1.09,71.78,2.2,2.57
0.84,11.89,1.95,80.33,1.89,3.1
0.47,0.0,0.0,97.15,0.66,1.52
0.64,16.22,0.54,78.09,1.81,2.69
0.55,30.73,0.72,61.44,2.45,4.11
1.98,16.05,0.0,79.01,1.73,0.0
0.57,8.77,1.1,85.44,1.74,2.39
0.0,0.0,0.0,98.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,14.34,0.0,78.87,5.66,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.69,0.76,0.07,95.35,0.91,2.2
0.68,2.93,0.61,92.36,1.48,1.94
0.51,13.46,0.63,81.03,1.72,2.65
0.5,17.41,0.7,77.17,1.94,2.27
0.0,0.0,0.0,0.0,0.0,0.0
0.66,3.07,0.6,91.91,1.5,2.26
0.56,0.56,0.16,95.35,1.08,2.29
1.71,5.29,1.19,85.15,3.24,3.41
0.59,12.12,0.45,82.19,1.9,2.77
0.97,0.98,0.08,94.12,1.2,2.65
0.53,14.44,0.61,80.12,1.84,2.46
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.74,0.6,91.98,1.66,4.07
0.57,8.77,1.1,85.44,1.74,2.39
0.0,0.0,0.0,0.0,0.0,0.0
1.14,12.6,0.6,76.76,1.68,7.22
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,96.97,0.88,1.82
0.0,0.0,0.0,0.0,0.0,0.0
0.78,0.0,0.0,95.3,1.37,2.41
0.51,24.7,0.77,69.24,2.31,2.47
0.94,0.0,0.0,95.09,1.23,2.74
0.57,15.83,1.0,78.33,1.84,2.43
0.0,0.0,0.0,0.0,0.0,0.0
0.63,0.0,0.0,95.54,0.86,2.51
96.0,0.1,0.03,1.35,1.7,0.81
0.68,0.38,0.62,94.7,1.29,2.32
0.97,0.98,0.08,94.12,1.2,2.65
0.0,0.0,0.0,0.0,0.0,0.0
0.53,14.44,0.61,80.12,1.84,2.46
1.82,0.78,0.55,90.87,1.71,4.27
96.0,0.1,0.03,1.35,1.7,0.81
0.54,27.9,0.82,65.58,2.26,2.9
