,Recipient,AverageContribution,TotalAmount,test,totalcount,out.of.district,Billspassed
1,"Adrien, Gerly",328.5,6570,3,13,0.230769231,-1
2,"Albright-Hanna, Kate W.",115,4255,3,5,0.6,-1
3,"Arciero, Jim",282.1022511,65165.62,59,179,0.329608939,49
4,"Arena, John W.",266.6363636,2933,1,2,0.5,-1
5,"Armstrong, Joseph M.",155.7692308,2025,3,6,0.5,-1
6,"Arute, Kristen Gail",300.5102041,14725,27,41,0.658536585,-1
7,"Ashe, Brian M.",362.0353846,23532.3,29,52,0.557692308,18
8,"Ayers, Bruce J.",171.7821782,17350,47,85,0.552941176,70
9,"Balser, Ruth B.",114.4392523,12245,41,89,0.460674157,39
10,"Barber, Christine P.",225.7011494,19636,8,72,0.111111111,34
11,"Barrett, III, John",301.5151515,19900,16,45,0.355555556,13
12,"Barrows, Fred J.",455.7142857,3190,6,7,0.857142857,16
13,"Benson, Jennifer",289.3536232,59896.2,19,166,0.114457831,18
14,"Berthiaume, Jr., Donald R.",185.9183673,9110,22,37,0.594594595,15
15,"Bezanson, Alex",175.480916,22988,63,119,0.529411765,-1
16,"Biagetti, Sandra E. Slattery",290,5800,6,14,0.428571429,-1
17,"Biele, David M.",300.2567568,44438,35,100,0.35,25
18,"Blais, Natalie M.",289.673913,26650,13,46,0.282608696,27
19,"Blandford, Tom J.M.",158.3333333,1425,2,7,0.285714286,-1
20,"Bloomenthal, Benjamin Elliot",93.21428571,1305,3,8,0.375,-1
21,"Boldyga, Nick",254.1666667,6100,9,20,0.45,15
22,"Bradford, Forrest W.",250,500,1,1,1,-1
23,"Brodeur, Paul",240.1373913,33138.96,16,106,0.150943396,28
24,"Bruce, Suezanne P.",71.92307692,1870,5,22,0.227272727,-1
25,"Buckley, Erin M.",179.6341463,7365,9,30,0.3,-1
26,"Burke, William F.",130.0011538,3380.03,3,9,0.333333333,-1
27,"Cabral, Antonio F. D.",146.5420561,31360,40,147,0.272108844,39
28,"Cahill, Daniel F.",220.3505155,21374,11,74,0.148648649,38
29,"Campbell, Linda Dean",184.6774194,5725,13,25,0.52,25
30,"Capano, Pete",261.3095238,21950,37,77,0.480519481,20
31,"Carey, Daniel R.",243.1818182,8025,15,26,0.576923077,9
32,"Casey, Patrick R.",434.0914286,21270.48,18,40,0.45,-1
33,"Cassidy, Gerard J.",188.8461538,12275,8,50,0.16,15
34,"Chamberland, Ryan",688,13072,2,13,0.153846154,-1
35,"Chan, Tackey",319.0812721,90300,26,215,0.120930233,84
36,"Ciccolo, Michelle",265.3037383,56775,104,174,0.597701149,12
37,"Clemons Muhammad, Charles",86.21428571,1207,3,12,0.25,-1
38,"Cohen, Matthew S.",565.7894737,10750,10,11,0.909090909,-1
39,"Colarusso, Caroline",237.6213592,24475,64,80,0.8,-1
40,"Coller, Michael A.",68.91,68.91,1,1,1,-1
41,"Connolly, Michael L.",154.312483,45367.87,103,246,0.418699187,37
42,"Coppinger, Edward F.",235.5953846,45941.1,65,158,0.411392405,24
43,"Costello, Sean P.",242.3611111,17450,40,58,0.689655172,-1
44,"Crescenzo, Matthew P.",172.2222222,3100,6,10,0.6,-1
45,"Crocker, Jr., William L.",247.983871,61500,63,146,0.431506849,8
46,"Cronin, Claire",247.4107143,69275,68,234,0.290598291,41
47,"Cruz, John F.",286.25,5725,11,18,0.611111111,-1
48,"Cullinane, Dan",264.2056067,63145.14,18,174,0.103448276,18
49,"Cusack, Mark James",263.9320661,63871.56,35,177,0.197740113,37
50,"Cusack, Paul J.",290.8549223,56135,16,67,0.23880597,-1
51,"Cutler, Josh",214.6272131,26184.52,66,89,0.741573034,46
52,"D'Emilia, Angelo L.",311.1702128,14625,27,38,0.710526316,12
53,"Day, Michael S.",276.1075,64056.94,76,185,0.410810811,51
54,"Decker, Marjorie C.",235.5462555,53469,94,194,0.484536082,68
55,"DeCoste, David F.",234.1145833,22475,61,88,0.693181818,33
56,"DeLeo, Robert A.",312.060846,818847.66,156,2045,0.076283619,6
57,"Demers, Joseph E.",400,3600,3,7,0.428571429,-1
58,"Demong, Alison",238.1818182,15720,35,46,0.760869565,-1
59,"Devers, Marcos A.",233,9320,21,36,0.583333333,4
60,"Doktor, Christine M.",354.4,8860,5,10,0.5,-1
61,"Domb, Mindy",363.3695652,16715,30,34,0.882352941,24
62,"Donahue, Daniel M.",309.0965625,19782.18,4,45,0.088888889,23
63,"Donato, Paul J.",179.6443494,96648.66,146,427,0.341920375,23
64,"Dooley, Shawn C.",556.122449,54500,40,88,0.454545455,74
65,"Driscoll, Jr., William J.",171.3123077,15589.42,25,72,0.347222222,15
66,"DuBois, Michelle Marie",89.92307692,5845,18,51,0.352941176,18
67,"Durant, Peter J.",100,200,1,2,0.5,18
68,"Dykema, Carolyn Coyne",115.3333333,5536,24,39,0.615384615,39
69,"Eaton, Gregory A.",76.125,3045,20,33,0.606060606,-1
70,"Eckert, Christina",135.3081218,26655.7,132,175,0.754285714,-1
71,"Edwards, Jonathan S.",333.3913043,7668,2,7,0.285714286,-1
72,"Ehrlich, Lori",200.4782609,9222,20,36,0.555555556,20
73,"Elugardo, Nika Carlene",119.9879154,79432,152,527,0.288425047,14
74,"Eubanks-Archbold, Elmer",115.3636364,5076,15,37,0.405405405,-1
75,"Factor, Daniel L.",44.57142857,624,3,7,0.428571429,-1
76,"Farley-Bouvier, Tricia",153.1466667,11486,17,44,0.386363636,21
77,"Farrer, Emily",94.98387097,5889,16,39,0.41025641,-1
78,"Feeney, Mary Kate",144.7115385,7525,14,36,0.388888889,-1
79,"Ferguson, Kimberly",282.5,5650,6,13,0.461538462,20
80,"Fernandes, Dylan",175.5578947,16678,10,17,0.588235294,31
81,"Ferrante, Ann-Margaret",254.8692188,48934.89,19,82,0.231707317,35
82,"Ferro, Paul R.",363.9705882,12375,11,22,0.5,-1
83,"Finn, Michael J.",160.3070175,18275,20,90,0.222222222,16
84,"Fiola, Carole",247.4701245,59640.3,112,175,0.64,15
85,"Flannery, Donald J.",40,120,1,2,0.5,-1
86,"Frawley, Allin J.",314.5833333,3775,8,9,0.888888889,-1
87,"Frost, Paul K.",270.5882353,13800,14,41,0.341463415,27
88,"Fullen, Paul John",163.8333333,9830,16,50,0.32,-1
89,"Galvin, William C.",181.7164179,12175,13,51,0.254901961,61
90,"Garballey, Sean",168.0486111,36298.5,100,180,0.555555556,60
91,"Garlick, Denise",234.7543353,81225,138,299,0.461538462,23
92,"Garry, Colleen M.",216.1016949,12750,32,49,0.653061224,48
93,"Gatlin, Michael G.",233,5825,16,22,0.727272727,-1
94,"Gemme, Pamela",168.2142857,2355,2,10,0.2,-1
95,"Gentile, Carmine",186.5454545,10260,34,47,0.723404255,32
96,"Gifford, Susan D. Williams",237.1875,11385,22,34,0.647058824,14
97,"Golden Jr., Thomas A.",251.4226506,104340.4,29,302,0.09602649,34
98,"Goldstein-Rose, Solomon",149.375,3585,18,19,0.947368421,-1
99,"Gonsalves, Anand D.",311.1111111,2800,2,6,0.333333333,-1
100,"Gonzalez, Carlos",230.8872727,5079.52,2,11,0.181818182,34
101,"Gordon, Kenneth I.",375,21375,12,41,0.292682927,30
102,"Gouveia, Tami L.",139.0402459,33925.82,73,174,0.41954023,20
103,"Gravel, Edward A.",330.735,5291.76,10,16,0.625,-1
104,"Gregoire, Danielle W.",229.8850575,20000,12,53,0.226415094,33
105,"Gustavson, Allison M.",446.1578947,42385,39,56,0.696428571,-1
106,"Haddad, Patricia A.",257.8292195,52854.99,24,145,0.165517241,35
107,"Haggerty, Richard M.",322.2772277,32550,41,81,0.50617284,11
108,"Hall, Julie A.",309.3339241,24437.38,20,42,0.476190476,0
109,"Hamlin, Brian",178.0092857,2492.13,11,12,0.916666667,-1
110,"Harrington, Sheila C.",232.2857143,8130,23,25,0.92,15
111,"Hawkins, James K.",185.9375,2975,4,13,0.307692308,21
112,"Hay, Stephan",129.5,15540,50,93,0.537634409,26
113,"Heisey, Sabrina",82.72340426,15552,23,147,0.156462585,-1
114,"Hendricks, Christopher",125.7008547,14707,15,90,0.166666667,8
115,"Hewins, Sarah G.",200,2600,11,11,1,-1
116,"Higgins, Kevin Michael",91.875,2940,9,24,0.375,-1
117,"Higgins, Natalie Marie",95.06353535,9411.29,35,84,0.416666667,32
118,"Hill, Bradford R.",184.0260656,22451.18,86,100,0.86,35
119,"Hine, John R.",65.83333333,2370,18,20,0.9,32
120,"Hogan, Kate",226.8923016,57176.86,56,190,0.294736842,21
121,"Holmes, Russell",196.4333333,1178.6,2,2,1,21
122,"Honan, Kevin G.",321.1521053,48815.12,18,114,0.157894737,44
123,"Howell, Darrin D.",157.6569343,21599,13,103,0.126213592,-1
124,"Howitt, Steven",489.6721951,20076.56,4,32,0.125,52
125,"Hunt, Daniel J.",296.2221986,83534.66,42,216,0.194444444,43
126,"Hunt, Randy",143.9705882,14685,55,63,0.873015873,15
127,"Idowu, Oluwasegun",106.7984536,20718.9,19,132,0.143939394,-1
128,"Janson, Michael",263.5,263.5,1,1,1,-1
129,"Johnson, Erika F.",68.42105263,2600,17,27,0.62962963,-1
130,"Jones Jr., Bradley H.",299.1447843,76281.92,50,214,0.23364486,150
131,"Kafka, Louis L.",178.6516854,15900,14,69,0.202898551,47
132,"Kane, Hannah",194.0885167,81129,225,348,0.646551724,27
133,"Kearney, Patrick J.",268.9681275,67511,78,190,0.410526316,20
134,"Keefe, Mary S.",92.99157895,10601.04,29,86,0.337209302,10
135,"Kelcourse, James M.",156.5804598,54490,233,291,0.800687285,13
136,"Kenyon, Mark A.",66.66666667,600,3,7,0.428571429,-1
137,"Khan, Kay S.",225,450,1,2,0.5,58
138,"Khdeer, Yasmine",162.5,325,1,2,0.5,-1
139,"Koczera, Robert M.",237.5,3800,3,11,0.272727273,-1
140,"Kratman, Mark S.",500,13000,4,21,0.19047619,-1
141,"Krueger, Christian W.",172.8571429,1210,6,7,0.857142857,-1
142,"Lacet, Jovan",252.2727273,8325,9,25,0.36,-1
143,"Lahiff, Joseph G.",304.5134884,13094.08,14,39,0.358974359,-1
144,"LaNatra, Kathleen R.",221.9784615,11542.88,23,41,0.56097561,7
145,"Landry, Anne DJ",274.4444444,7410,5,17,0.294117647,-1
146,"Lantigua, William",206.9406061,34145.2,46,107,0.429906542,-1
147,"Lawn, John",198.3666667,22018.7,17,84,0.202380952,25
148,"Leary, James",163.1785714,18276,54,101,0.534653465,-1
149,"LeBoeuf, David Henry Argosky",124.2187773,28446.1,30,153,0.196078431,26
150,"Leczynski, Raymond G.",296.4285714,4150,4,10,0.4,-1
151,"Leibowitz, Steven M.",115.3880597,7731,11,42,0.261904762,-1
152,"Lennon, Lori",80.82942149,9780.36,15,84,0.178571429,-1
153,"Lewis, Jack Patrick",105.5433071,13404,29,106,0.273584906,28
154,"Livingstone, Jay",352.0089286,39425,67,95,0.705263158,34
155,"Lombardo, Marc",234.7222222,16900,37,47,0.787234043,19
156,"Loosemore, W. Stuart",131.3661202,24040,21,145,0.144827586,-1
157,"Losco, Ryan R.",314.7058824,10700,5,17,0.294117647,-1
158,"Lynch, Kathleen",236.3312,11816.56,25,42,0.595238095,-1
159,"Lyons, James J.",193.7808735,64335.25,100,273,0.366300366,-1
160,"Madaro, Adrian",191.8919722,165410.88,265,756,0.350529101,26
161,"Mahoney, John J.",218.6197917,83950,46,280,0.164285714,17
162,"Malaguti, Claire",133.3333333,400,1,2,0.5,-1
163,"Malia, Elizabeth A.",203.5647328,26666.98,23,95,0.242105263,32
164,"Malone, Patrick",55.79141104,9094,87,130,0.669230769,67
165,"Marcinczyk, Jr., Stanley P.",152.8571429,1070,2,2,1,-1
166,"Mariano, Ronald",358.4852838,183185.98,45,408,0.110294118,12
167,"Mark, Paul",302.2222222,13600,11,37,0.297297297,67
168,"Markey, Christopher M.",190.8333333,5725,7,25,0.28,23
169,"Mason, Joshua",255.1470588,8675,8,18,0.444444444,-1
170,"McCourt, P. Marie",109.8641667,3955.11,9,27,0.333333333,-1
171,"McDonald, John G.",264.7058824,4500,6,14,0.428571429,-1
172,"McGonagle, Joseph W.",206.6972477,45060,48,175,0.274285714,7
173,"McKenna, Joseph D.",469.5652174,10800,7,21,0.333333333,25
174,"McMurtry, Paul",219.8947368,41780,111,169,0.656804734,75
175,"Meas, Sam S.",185.625,1485,2,6,0.333333333,-1
176,"Meschino, Joan",131.7752443,40455,173,252,0.686507937,23
177,"Meuse, Patricia M. W.",116.6666667,350,1,3,0.333333333,-1
178,"Mezzina, Mark Bingham",249.0133333,18676,21,60,0.35,-1
179,"Michlewitz, Aaron",322.6929209,224271.58,192,533,0.360225141,25
180,"Minicucci, Christina A.",240.8307692,31308,23,88,0.261363636,7
181,"Miranda, Elizabeth",99.56568807,43410.64,51,294,0.173469388,14
