zestimate,low,high,1
,,,0
363240,345078,381402,1
,,,0
471236,438249,499510,1
,,,0
0,0,0,1
,,,0
380726,361690,403570,1
,,,0
0,0,0,1
,,,0
908170,862762,962660,1
,,,0
547527,503725,591329,1
,,,0
534641,502563,577412,1
,,,0
0,0,0,1
,,,0
434598,386792,486750,1
,,,0
0,0,0,1
,,,0
169583,147537,191629,1
,,,0
0,0,0,1
,,,0
1070559,995620,1145498,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
390415,366990,409936,1
,,,0
1761535,1620612,1920073,1
,,,0
350207,325693,367717,1
,,,0
652084,612959,704251,1
,,,0
429132,403384,454880,1
,,,0
1217665,1108075,1339431,1
,,,0
703055,667902,745238,1
,,,0
169583,147537,191629,1
,,,0
0,0,0,1
,,,0
1070559,995620,1145498,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
401571,373461,429681,1
,,,0
416265,395452,437078,1
,,,0
505241,474927,545660,1
,,,0
299868,281876,314861,1
,,,0
0,0,0,1
,,,0
169508,147472,201715,1
,,,0
0,0,0,1
,,,0
1070559,995620,1145498,1
,,,0
169508,147472,201715,1
,,,0
960164,873749,1036977,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
169508,147472,201715,1
,,,0
1343336,1262736,1464236,1
,,,0
0,0,0,1
,,,0
324977,308728,341226,1
,,,0
511467,485894,537040,1
,,,0
365271,343355,383535,1
,,,0
539371,501615,566340,1
,,,0
169508,147472,201715,1
,,,0
609163,578705,645713,1
,,,0
704359,648010,767751,1
,,,0
570322,541806,604541,1
,,,0
453132,407819,489383,1
,,,0
531204,488708,563076,1
,,,0
448503,408138,484383,1
,,,0
614948,584201,651845,1
,,,0
0,0,0,1
,,,0
159369,146619,172119,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
294543,268034,323997,1
,,,0
1159471,1066713,1229039,1
,,,0
556376,500738,595322,1
,,,0
832458,774186,899055,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
1052842,905444,1179183,1
,,,0
117968,101452,139202,1
,,,0
496673,466873,521507,1
,,,0
392126,364677,423496,1
,,,0
245241,228074,259955,1
,,,0
620151,589143,657360,1
,,,0
807449,767077,847821,1
,,,0
374937,344942,401183,1
,,,0
0,0,0,1
,,,0
1891194,1626427,2193785,1
,,,0
0,0,0,1
,,,0
395922,376126,415718,1
,,,0
169508,147472,201715,1
,,,0
560551,532523,588579,1
,,,0
0,0,0,1
,,,0
566161,520868,628439,1
,,,0
0,0,0,1
,,,0
756751,703778,794589,1
,,,0
401213,373128,433310,1
,,,0
1382003,1229983,1547843,1
,,,0
827939,786542,877615,1
,,,0
97076,97076,97076,1
,,,0
403237,370978,431464,1
,,,0
403237,370978,431464,1
,,,0
535170,497708,567280,1
,,,0
553917,526221,581613,1
,,,0
688436,647130,729742,1
,,,0
252041,219276,274725,1
,,,0
346604,315410,377798,1
,,,0
462495,439370,485620,1
,,,0
619316,588350,650282,1
,,,0
449122,413192,476069,1
,,,0
605614,563221,635895,1
,,,0
0,0,0,1
,,,0
688436,647130,729742,1
,,,0
231577,213051,250103,1
,,,0
464077,413029,533689,1
,,,0
641883,590532,693234,1
,,,0
0,0,0,1
,,,0
312400,281160,331144,1
,,,0
511467,485894,537040,1
,,,0
363240,345078,381402,1
,,,0
297726,259022,321544,1
,,,0
350991,312382,375560,1
,,,0
377604,351172,415364,1
,,,0
618263,581167,661541,1
,,,0
355443,334116,373215,1
,,,0
548394,515490,581298,1
,,,0
429314,407848,455073,1
,,,0
832458,774186,899055,1
,,,0
322973,303595,342351,1
,,,0
1131227,1052041,1233037,1
,,,0
447727,416386,470113,1
,,,0
309147,290598,327696,1
,,,0
404562,384334,424790,1
,,,0
386285,366971,413325,1
,,,0
552432,513762,591102,1
,,,0
0,0,0,1
,,,0
798308,726460,870156,1
,,,0
494561,454996,519289,1
,,,0
672578,638949,712933,1
,,,0
248019,235618,260420,1
,,,0
750661,690608,818220,1
,,,0
298443,274568,319334,1
,,,0
169508,147472,201715,1
,,,0
0,0,0,1
,,,0
588512,547316,617938,1
,,,0
529148,492108,560897,1
,,,0
231577,213051,250103,1
,,,0
0,0,0,1
,,,0
538748,501036,576460,1
,,,0
0,0,0,1
,,,0
685936,644780,720233,1
,,,0
0,0,0,1
,,,0
169508,147472,201715,1
,,,0
733160,674507,791813,1
,,,0
814811,774070,871848,1
,,,0
0,0,0,1
,,,0
1175007,1069256,1233757,1
,,,0
559540,531563,598708,1
,,,0
537943,489528,564840,1
,,,0
745936,701180,790692,1
,,,0
0,0,0,1
,,,0
2042877,1736445,2328880,1
,,,0
683019,642038,730830,1
,,,0
518800,472108,570680,1
,,,0
416265,395452,437078,1
,,,0
593844,558213,629475,1
,,,0
677309,623124,731494,1
,,,0
418229,384771,451687,1
,,,0
484503,455433,513573,1
,,,0
765538,727261,834436,1
,,,0
561102,527436,600379,1
,,,0
718881,675748,754825,1
,,,0
1344983,1210485,1560180,1
,,,0
1980494,1841859,2099324,1
,,,0
688041,646759,736204,1
,,,0
505241,474927,545660,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
1182901,1064611,1324849,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
0,0,0,1
,,,0
