Party,Result,Competition,Sex,twenty.percentile,median.income,eighty.percentile
Democrat,Loser,Yes,M,22800,52500,99000
Democrat,Loser,Yes,F,26500,65000,119100
Democrat,Winner,Yes,M,55700,122400,201000
Democrat,Loser,Yes,M,21500,55800,103200
Independent,Loser,Yes,M,35900,94800,167900
Republican,Loser,Yes,F,36200,105500,216500
Democrat,Winner,Yes,M,38400,86500,161400
Democrat,Winner,No,M,27500,71900,127200
Democrat,Winner,No,F,52700,142200,250000
Democrat,Winner,No,F,23900,75200,137400
Democrat,Winner,No,M,19900,50100,97600
Republican,Winner,No,M,42600,95500,160000
Democrat,Winner,No,F,46800,104600,198200
Republican,Winner,Yes,M,28300,67000,81800
Democrat,Loser,Yes,M,35900,77600,131400
Republican,Loser,Yes,F,36400,85600,153400
Democrat,Winner,Yes,M,21100,83400,161500
Democrat,Winner,Yes,F,26500,65000,119100
Republican,Loser,Write-In Style,M,36000,88500,156400
Democrat,Loser,Yes,M,52700,128300,237400
Republican,Winner,Yes,M,25800,65700,124400
Democrat,Loser,Yes,M,25800,65700,124400
Democrat,Winner,No,M,16600,56600,108400
Democrat,Loser,Yes,F,10700,42000,143000
Republican,Loser,Yes,F,41400,96300,155600
Democrat,Loser,Yes,M,24600,63900,127100
Democrat,Winner,Yes,M,13800,36200,76800
Democrat,Winner,No,M,19200,52000,103800
Democrat,Winner,Yes,F,31800,77300,136500
Democrat,Winner,Yes,M,14200,44800,103800
Democrat,Winner,Yes,M,26600,63100,115800
Republican,Loser,Yes,M,45000,106300,195400
Democrat,Winner,Yes,M,14900,40700,86800
Republican,Loser,Yes,M,39800,87000,144800
Democrat,Winner,Yes,M,24600,63900,127100
Democrat,Winner,Yes,F,44600,124000,250000
Democrat,Loser,Yes,M,12800,47500,113100
Democrat,Loser,Yes,M,44600,124000,250000
Republican,Loser,Yes,F,41800,108300,214900
Independent,Loser,Yes,M,37600,89000,153600
Democrat,Winner,No,M,19800,70500,139700
Democrat,Winner,No,M,39500,99400,188700
Democrat,Loser,Yes,M,35900,94800,167900
Democrat,Loser,Yes,M,37600,89000,153600
Republican,Winner,Yes,M,24800,61000,112400
Democrat,Winner,No,F,29300,71700,140700
Republican,Loser,Yes,M,26800,65400,113700
Democrat,Winner,Yes,M,19800,59100,121800
Democrat,Winner,No,M,31700,80000,140600
Democrat,Loser,Yes,M,24800,61000,112400
Democrat,Winner,No,M,46500,101300,171800
Republican,Winner,Yes,M,33600,86000,152100
Democrat,Winner,Yes,M,41800,108300,214900
Democrat,Winner,Yes,F,32200,81200,164800
Republican,Winner,Yes,M,36500,87600,175100
Democrat,Winner,No,M,20800,54800,105800
Democrat,Loser,Yes,M,34800,87300,154900
Democrat,Loser,Yes,F,36500,87600,175100
Democrat,Winner,Yes,M,13300,36300,76900
Democrat,Loser,Yes,F,26500,65000,119100
Democrat,Winner,Yes,F,16900,50100,124400
Democrat,Winner,No,M,16600,43500,89200
Democrat,Winner,No,M,27000,69200,129500
Republican,Winner,Yes,M,46500,105800,195800
Democrat,Winner,No,M,35500,89000,181700
Democrat,Winner,Yes,F,26800,65400,113700
Republican,Winner,No,M,24700,61100,117100
Democrat,Winner,No,F,54900,126700,223000
Republican,Loser,Yes,M,35900,77600,131400
Democrat,Loser,Yes,F,43500,100600,178100
Democrat,Loser,Yes,M,26500,65000,119100
Democrat,Winner,No,F,33300,92600,187800
Democrat,Winner,Yes,F,16700,62700,134200
Republican,Loser,Yes,M,18900,50900,101100
Green-Rainbow,Loser,Yes,M,52700,128300,237400
Democrat,Winner,No,F,17300,44400,91900
Democrat,Loser,Yes,F,22600,54500,107400
Democrat,Loser,Write-In Style,F,36000,88500,156400
Republican,Winner,Yes,F,50000,101000,169400
Democrat,Winner,No,M,30200,72900,138800
Democrat,Winner,Yes,F,25700,67700,133700
Republican,Loser,Yes,M,31900,77900,146800
Democrat,Winner,No,M,20600,47500,98600
Democrat,Winner,Yes,F,16800,44200,93400
Independent,Loser,Yes,M,29400,71600,127800
Democrat,Loser,Yes,M,38500,86100,139800
