"","Recipient","AverageContribution","TotalAmount","test","totalcount","out.of.district"
"1","Adrien, Gerly",328.5,6570,3,13,0.230769230769231
"2","Albright-Hanna, Kate W.",115,4255,3,5,0.6
"3","Arciero, Jim",282.102251082251,65165.62,59,179,0.329608938547486
"4","Arena, John W.",266.636363636364,2933,1,2,0.5
"5","Armstrong, Joseph M.",155.769230769231,2025,3,6,0.5
"6","Arute, Kristen Gail",300.510204081633,14725,27,41,0.658536585365854
"7","Ashe, Brian M.",362.035384615385,23532.3,29,52,0.557692307692308
"8","Ayers, Bruce J.",171.782178217822,17350,47,85,0.552941176470588
"9","Balser, Ruth B.",114.439252336449,12245,41,89,0.460674157303371
"10","Barber, Christine P.",225.701149425287,19636,8,72,0.111111111111111
"11","Barrett, III, John",301.515151515152,19900,16,45,0.355555555555556
"12","Barrows, Fred J.",455.714285714286,3190,6,7,0.857142857142857
"13","Benson, Jennifer",289.353623188406,59896.2,19,166,0.114457831325301
"14","Berthiaume, Jr., Donald R.",185.918367346939,9110,22,37,0.594594594594595
"15","Bezanson, Alex",175.480916030534,22988,63,119,0.529411764705882
"16","Biagetti, Sandra E. Slattery",290,5800,6,14,0.428571428571429
"17","Biele, David M.",300.256756756757,44438,35,100,0.35
"18","Blais, Natalie M.",289.673913043478,26650,13,46,0.282608695652174
"19","Blandford, Tom J.M.",158.333333333333,1425,2,7,0.285714285714286
"20","Bloomenthal, Benjamin Elliot",93.2142857142857,1305,3,8,0.375
"21","Boldyga, Nick",254.166666666667,6100,9,20,0.45
"22","Bradford, Forrest W.",250,500,1,1,1
"23","Brodeur, Paul",240.137391304348,33138.96,16,106,0.150943396226415
"24","Bruce, Suezanne P.",71.9230769230769,1870,5,22,0.227272727272727
"25","Buckley, Erin M.",179.634146341463,7365,9,30,0.3
"26","Burke, William F.",130.001153846154,3380.03,3,9,0.333333333333333
"27","Cabral, Antonio F. D.",146.542056074766,31360,40,147,0.272108843537415
"28","Cahill, Daniel F.",220.350515463918,21374,11,74,0.148648648648649
"29","Campbell, Linda Dean",184.677419354839,5725,13,25,0.52
"30","Capano, Pete",261.309523809524,21950,37,77,0.480519480519481
"31","Carey, Daniel R.",243.181818181818,8025,15,26,0.576923076923077
"32","Casey, Patrick R.",434.091428571429,21270.48,18,40,0.45
"33","Cassidy, Gerard J.",188.846153846154,12275,8,50,0.16
"34","Chamberland, Ryan",688,13072,2,13,0.153846153846154
"35","Chan, Tackey",319.081272084806,90300,26,215,0.12093023255814
"36","Ciccolo, Michelle",265.303738317757,56775,104,174,0.597701149425287
"37","Clemons Muhammad, Charles",86.2142857142857,1207,3,12,0.25
"38","Cohen, Matthew S.",565.789473684211,10750,10,11,0.909090909090909
"39","Colarusso, Caroline",237.621359223301,24475,64,80,0.8
"40","Coller, Michael A.",68.91,68.91,1,1,1
"41","Connolly, Michael L.",154.312482993197,45367.87,103,246,0.41869918699187
"42","Coppinger, Edward F.",235.595384615385,45941.1,65,158,0.411392405063291
"43","Costello, Sean P.",242.361111111111,17450,40,58,0.689655172413793
"44","Crescenzo, Matthew P.",172.222222222222,3100,6,10,0.6
"45","Crocker, Jr., William L.",247.983870967742,61500,63,146,0.431506849315068
"46","Cronin, Claire",247.410714285714,69275,68,234,0.290598290598291
"47","Cruz, John F.",286.25,5725,11,18,0.611111111111111
"48","Cullinane, Dan",264.205606694561,63145.14,18,174,0.103448275862069
"49","Cusack, Mark James",263.932066115702,63871.56,35,177,0.19774011299435
"50","Cusack, Paul J.",290.854922279793,56135,16,67,0.238805970149254
"51","Cutler, Josh",214.627213114754,26184.52,66,89,0.741573033707865
"52","D'Emilia, Angelo L.",311.170212765957,14625,27,38,0.710526315789474
"53","Day, Michael S.",276.1075,64056.94,76,185,0.410810810810811
"54","Decker, Marjorie C.",235.546255506608,53469,94,194,0.484536082474227
"55","DeCoste, David F.",234.114583333333,22475,61,88,0.693181818181818
"56","DeLeo, Robert A.",312.060846036585,818847.66,156,2045,0.0762836185819071
"57","Demers, Joseph E.",400,3600,3,7,0.428571428571429
"58","Demong, Alison",238.181818181818,15720,35,46,0.760869565217391
"59","Devers, Marcos A.",233,9320,21,36,0.583333333333333
"60","Doktor, Christine M.",354.4,8860,5,10,0.5
"61","Domb, Mindy",363.369565217391,16715,30,34,0.882352941176471
"62","Donahue, Daniel M.",309.0965625,19782.18,4,45,0.0888888888888889
